compang,dili,position,pay,level
['新希望六和股份有限公司'],['郑州'],养殖技术人员,6k-8k,本科生毕业
['新希望六和股份有限公司'],['郑州'],项目管理专员/助理,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],养殖技术人员,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],饲养员,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],兽医/宠物医生,4k-6k,本科生毕业
['新希望六和股份有限公司'],['石家庄'],会计,4k-6k,本科生毕业
['新希望六和股份有限公司'],['郑州'],营销专员/助理,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],生产主管/督导/组长,4k-6k,专科生毕业
['新希望六和股份有限公司'],['石家庄'],人力资源专员/人事助理,4k-6k,本科生毕业
['新希望六和股份有限公司'],['郑州'],动物产房技术员,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],朝阳计划,6k-8k,本科生毕业
['新希望六和股份有限公司'],['郑州'],希计划硕士,8k-10k,硕士生毕业
['新希望六和股份有限公司'],['郑州'],希计划本科,6k-8k,本科生毕业
['新希望六和股份有限公司'],['郑州'],食品品管化验生产储备,4k-6k,本科生毕业
['新希望六和股份有限公司'],['郑州'],销售员/市场开发员,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],种植技术员,4k-6k,专科生毕业
['新希望六和股份有限公司'],['郑州'],养殖技术人员,6k-8k,专科生毕业
['新希望六和股份有限公司'],['郑州'],人力资源专员/人事助理,4k-6k,本科生毕业
['河南中车重型装备有限公司'],['三门峡'],机械工艺/制程工程师,4k-6k,本科生毕业
['河南中车重型装备有限公司'],['三门峡'],机械设计师,4k-6k,本科生毕业
['河南中车重型装备有限公司'],['三门峡'],机械设计师,4k-6k,本科生毕业
['河南中车重型装备有限公司'],['三门峡'],机械设计师,4k-6k,本科生毕业
['河南多特通信科技有限公司'],['郑州'],4G/5G初中级网络优化工程师,4k-6k,专科生毕业
['河南多特通信科技有限公司'],['郑州'],通信设计工程师,4k-6k,本科生毕业
['河南多特通信科技有限公司'],['深圳'],通信监理,4k-6k,专科生毕业
['河南多特通信科技有限公司'],['郑州'],5G网络优化工程师,4k-6k,本科生毕业
['河南多特通信科技有限公司'],['郑州'],5G督导工程师,2k-4k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],英语讲师,6k-8k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],市场招生人员,4k-6k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],外语/小语种培训师,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学实习讲师,6k-8k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],课程顾问,8k-10k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学助教可兼职可全职,4k-6k,本科生毕业
['河南好大夫教育科技有限公司'],['郑州'],招聘专员/助理,2k-4k,专科生毕业
['河南好大夫教育科技有限公司'],['郑州'],医学班主任,4k-6k,本科生毕业
